Date,Open,High,Low,Close,Volume
2021-01-04,5.5405,5.6196,5.5317,5.5757,8957623
2021-01-05,5.5757,5.9802,5.4174,5.7428,23756192
2021-01-06,5.7076,5.7076,5.5493,5.5757,11754182
2021-01-07,5.5141,5.6548,5.4525,5.4701,9972375
2021-01-08,5.4174,5.5317,5.3734,5.4789,6313896
2021-01-11,5.4701,5.4789,5.3206,5.3646,7654979
2021-01-12,5.3294,5.4262,5.3294,5.3822,5581640
2021-01-13,5.391,5.4525,5.3206,5.3734,8253283
2021-01-14,5.4438,5.5405,5.435,5.4613,10177243
2021-01-15,5.435,5.4525,5.3734,5.4086,6189148
2021-01-18,5.4262,5.4877,5.391,5.4438,6543340
2021-01-19,5.435,5.4613,5.3822,5.391,6507780
2021-01-20,5.4174,5.4262,5.347,5.3822,6285836
2021-01-21,5.3734,5.4174,5.347,5.3822,7316311
2021-01-22,5.3822,5.435,5.3206,5.3734,7068617
2021-01-25,5.3558,5.3558,5.2415,5.2503,9556020
2021-01-26,5.2327,5.2855,5.0568,5.1096,10508971
2021-01-27,5.1008,5.1359,5.0216,5.048,6630566
2021-01-28,5.0216,5.0216,4.8545,4.8721,8672168
2021-01-29,4.8985,4.9161,4.6962,4.7402,8180790
2021-02-01,4.7402,4.7402,4.6259,4.705,6444344
2021-02-02,4.7138,5.0568,4.7138,4.9073,15059245
2021-02-03,4.8985,4.8985,4.7314,4.749,8378136
2021-02-04,4.749,4.7578,4.5379,4.5995,8261789
2021-02-05,4.5995,4.6786,4.5731,4.5819,6133713
2021-02-08,4.6259,4.7138,4.6259,4.6874,6324073
2021-02-09,4.6874,4.793,4.6435,4.749,7119048
2021-02-10,4.7754,4.8281,4.7314,4.8193,7622346
2021-02-18,4.9161,4.9864,4.9161,4.9601,10517419
2021-02-19,4.9689,5.0568,4.9337,5.0568,11955591
2021-02-22,5.0568,5.3558,5.0568,5.2063,21312881
2021-02-23,5.1887,5.2327,5.092,5.1184,11166555
2021-02-24,5.1272,5.1623,5.0128,5.048,8582758
2021-02-25,5.092,5.1359,5.0304,5.0568,8325318
2021-02-26,5.004,5.0392,4.9161,4.9425,9259593
2021-03-01,4.9776,5.0128,4.9425,4.9952,6515444
2021-03-02,5.004,5.0128,4.8897,4.9337,8129532
2021-03-03,4.9249,4.9776,4.8897,4.9689,6873902
2021-03-04,4.9689,5.092,4.9601,5.0216,10116464
2021-03-05,5.0128,5.0832,4.9776,5.0832,9278879
2021-03-08,5.1008,5.1447,4.9864,5.0128,9261517
2021-03-09,5.0128,5.1623,4.8985,5.0568,16091912
2021-03-10,5.0568,5.0568,4.8897,4.9073,11017023
2021-03-11,4.9337,4.9689,4.8369,4.9601,6216196
2021-03-12,4.9425,5.0656,4.8985,5.0128,8439280
2021-03-15,5.0216,5.3646,5.0216,5.1975,25323833
2021-03-16,5.1975,5.3206,5.0656,5.2503,16592867
2021-03-17,5.2415,5.5845,5.2327,5.4086,26605686
2021-03-18,5.3822,5.4525,5.2767,5.3206,18294092
2021-03-19,5.2767,5.3646,5.2503,5.2855,13705683
2021-03-22,5.2591,5.3294,5.2327,5.2855,12406930
2021-03-23,5.2767,5.2855,5.1184,5.1359,12033244
2021-03-24,5.1359,5.1623,5.0656,5.0744,6944508
2021-03-25,5.0656,5.1359,5.0568,5.0656,4976652
2021-03-26,5.0656,5.1272,5.0568,5.1184,5663063
2021-03-29,5.1184,5.1447,5.0832,5.1272,6595515
2021-03-30,5.1447,5.1447,5.0392,5.0656,6298803
2021-03-31,5.092,5.2591,5.0656,5.2415,14224631
2021-04-01,5.2063,5.2415,5.1272,5.1887,9433150
2021-04-02,5.1711,5.1711,5.1272,5.1447,5709951
2021-04-06,5.1359,5.1887,5.1272,5.1447,6188449
2021-04-07,5.2063,5.3294,5.1887,5.2239,14167111
2021-04-08,5.1711,5.1711,5.0568,5.0744,14103882
2021-04-09,5.0744,5.1008,5.0304,5.048,6413761
2021-04-12,5.048,5.0568,4.9689,4.9776,6162344
2021-04-13,4.9689,5.0128,4.9425,4.9952,3588401
2021-04-14,5.0128,5.0128,4.9601,5.0128,2952291
2021-04-15,4.9689,5.0216,4.9689,5.0128,2503013
2021-04-16,5.0128,5.0744,4.9864,5.0744,4772717
2021-04-19,5.0568,5.092,5.0392,5.0832,5955240
2021-04-20,5.0568,5.0832,5.004,5.0128,6604668
2021-04-21,5.0216,5.0216,4.9689,4.9864,4410027
2021-04-22,4.9776,5.004,4.9689,4.9776,4104268
2021-04-23,4.9601,4.9776,4.9073,4.9249,4834742
2021-04-26,4.9161,4.9689,4.8897,4.9073,4988982
2021-04-27,4.9073,4.9249,4.8369,4.8545,4160648
2021-04-28,4.8985,4.9425,4.8721,4.8985,4833942
2021-04-29,4.8897,4.9249,4.8369,4.8897,3103442
2021-04-30,4.8897,4.9073,4.8457,4.8545,3814819
2021-05-06,4.8721,4.9425,4.8633,4.8897,3736796
2021-05-07,4.8897,4.9601,4.8809,4.9249,5133961
2021-05-10,4.9249,4.9425,4.8721,4.8985,4940774
2021-05-11,4.8721,4.8985,4.8369,4.8897,4865039
2021-05-12,4.8897,4.9161,4.8545,4.9073,4434472
2021-05-13,4.8897,4.9161,4.8633,4.8809,4004806
2021-05-14,4.8809,4.9425,4.8633,4.9337,6966116
2021-05-17,4.9337,4.9689,4.8985,4.9337,6215512
2021-05-18,4.9513,4.9513,4.8985,4.9425,4147283
2021-05-19,4.9513,4.9513,4.8809,4.8897,4751948
2021-05-20,4.8985,4.9073,4.8457,4.8633,3822014
2021-05-21,4.8633,4.8809,4.8457,4.8633,4441630
2021-05-24,4.8633,4.8809,4.7754,4.8369,10085913
2021-05-25,4.8281,4.8809,4.8018,4.8721,6167155
2021-05-26,4.8633,4.8985,4.8457,4.8985,6444792
2021-05-27,4.8985,4.9073,4.8633,4.8809,6491940
2021-05-28,4.8897,4.9074,4.8544,4.8809,5784516
2021-05-31,4.8721,4.8721,4.7926,4.8191,7793075
2021-06-01,4.8279,4.8368,4.7926,4.8191,4498284
2021-06-02,4.8103,4.8103,4.7485,4.7662,7175884
2021-06-03,4.7662,4.8986,4.7485,4.8544,11370298
2021-06-04,4.8544,4.8633,4.7662,4.7838,6303680
2021-06-07,4.775,4.7926,4.7573,4.775,3900101
2021-06-08,4.775,4.7838,4.7485,4.7485,4386508
2021-06-09,4.7662,4.7926,4.7573,4.775,4103294
2021-06-10,4.775,4.8191,4.775,4.7926,5961368
2021-06-11,4.7926,4.8015,4.7485,4.7573,6232440
2021-06-15,4.7662,4.7662,4.6867,4.6956,5882288
2021-06-16,4.6867,4.7132,4.6426,4.6514,5873110
2021-06-17,4.6602,4.7662,4.6514,4.7309,7215945
2021-06-18,4.7309,4.7309,4.6779,4.7132,4732500
