Date,Open,High,Low,Close,Volume
2021-01-04,83.4736,100,97.1,83.4736,1134041
2021-01-05,83.4736,98,96.2,83.4736,849551
2021-01-06,82.2805,98.2,95.45,82.2805,1321310
2021-01-07,81.0875,97.8,94,81.0875,1584530
2021-01-08,81.9823,96.8,94.2,81.9823,1346041
2021-01-11,80.7892,96.7,93.1,80.7892,1267320
2021-01-12,82.5362,98.3,95,82.5362,1705012
2021-01-13,85.2207,100.9,96.8,85.2207,2858806
2021-01-14,85.732,101.8,99.65,85.732,2709956
2021-01-15,93.4019,113,103.3,93.4019,9266382
2021-01-18,101.7535,120,111,101.7535,8345075
2021-01-19,99.7082,128,111.7,99.7082,7115509
2021-01-20,106.5258,126.6,119.8,106.5258,6954434
2021-01-21,111.8095,133.8,123.8,111.8095,4695216
2021-01-22,106.4406,130.4,124.3,106.4406,4005696
2021-01-25,107.4633,128.5,123.4,107.4633,2845939
2021-01-26,104.5658,127.8,120.9,104.5658,1717690
2021-01-27,103.3727,124.9,117.3,103.3727,2480254
2021-01-28,95.4471,119,110.4,95.4471,3785437
2021-01-29,96.3846,117.3,110.5,96.3846,3225984
2021-02-01,96.2994,113.9,109.6,96.2994,3267527
2021-02-02,100.39,119.4,115.6,100.39,3180741
2021-02-03,99.3673,120,114.6,99.3673,2447493
2021-02-04,99.8786,119.6,112.2,99.8786,2581855
2021-02-05,100.7308,120.9,115.6,100.7308,2800362
2021-02-08,101.0717,120.3,115,101.0717,1583196
2021-02-09,104.3101,123,117.9,104.3101,1559637
2021-02-10,103.7136,122.7,119.1,103.7136,1049285
2021-02-11,102.0091,119.7,119.7,102.0091,0
2021-02-16,106.2702,127.3,121.1,106.2702,2140401
2021-02-17,106.5258,125.9,121.2,106.5258,2063890
2021-02-18,104.2249,125,121.8,104.2249,1834121
2021-02-19,100.39,122.2,115.7,100.39,2729524
2021-02-22,97.2368,122.8,114.1,97.2368,3266305
2021-02-23,96.9811,115.2,111,96.9811,2319618
2021-02-24,93.5723,117.2,107.1,93.5723,3120630
2021-02-25,100.9865,120.3,110.5,100.9865,4419548
2021-02-26,91.9531,113.9,105.9,91.9531,6957638
2021-03-01,88.8852,110.7,103,88.8852,3685886
2021-03-02,88.3738,106.9,102.3,88.3738,2276443
2021-03-03,88.7147,104.1,101.4,88.7147,1390617
2021-03-04,82.6214,101.7,95.5,82.6214,4415606
2021-03-05,82.6641,97.6,92,82.6641,2702369
2021-03-08,79.17,98.65,92.65,79.17,3270168
2021-03-09,78.4882,94.85,89.15,78.4882,3655708
2021-03-10,81.5136,97.45,94.7,81.5136,3913028
2021-03-11,85.3059,100.7,95.3,85.3059,2789268
2021-03-12,83.1328,104,97.25,83.1328,2570748
2021-03-15,82.9623,100.5,96.15,82.9623,1108546
2021-03-16,84.2832,100.8,97.95,84.2832,1154786
2021-03-17,84.6667,100.1,97.5,84.6667,1411986
2021-03-18,85.5616,101.6,99,85.5616,1196670
2021-03-19,83.8997,99.9,97.65,83.8997,1669719
2021-03-22,85.3059,102.2,98.8,85.3059,1299093
2021-03-23,82.6641,102.5,96.25,82.6641,1396327
2021-03-24,82.7919,98.5,95.25,82.7919,2074823
2021-03-25,82.7067,98.6,94.65,82.7067,1753352
2021-03-26,84.0276,99.95,96.6,84.0276,1506693
2021-03-29,85.2207,102.2,98,85.2207,1976800
2021-03-30,85.2207,100.7,98.25,85.2207,1830120
2021-03-31,84.4111,100.1,97.7,84.4111,1267020
2021-04-01,85.2207,102.2,99.05,85.2207,2269800
2021-04-07,90.5896,106.5,102.5,90.5896,4636748
2021-04-08,89.7374,107.3,104.8,89.7374,2079738
2021-04-09,89.3113,107.7,104.3,89.3113,1437917
2021-04-12,87.0955,105.5,100.6,87.0955,1897124
2021-04-13,84.4111,101.3,97.95,84.4111,2209622
2021-04-14,85.2207,101.7,99.35,85.2207,2309414
2021-04-15,86.4138,101.9,99.5,86.4138,1615047
2021-04-16,87.5216,103.9,101.6,87.5216,1340352
2021-04-19,87.8625,104,100.9,87.8625,1527464
2021-04-20,85.6468,103.9,99.2,85.6468,1632751
2021-04-21,101.2421,120.3,106.6,101.2421,12228774
2021-04-22,104.7362,124.6,119.5,104.7362,5853834
2021-04-23,100.3047,122.2,117.5,100.3047,3497173
2021-04-26,99.8786,119.4,113.9,99.8786,3107379
2021-04-27,102.0091,121.7,115.1,102.0091,2613222
2021-04-28,106.4406,125,118.1,106.4406,4387300
2021-04-29,103.9692,124.7,120.8,103.9692,1903654
2021-04-30,100.39,122.1,117.3,100.39,2254910
2021-05-03,98.9412,117.8,114.4,98.9412,1526037
2021-05-04,98.2594,116.6,113.6,98.2594,1540864
2021-05-05,93.9984,114.3,109.6,93.9984,2935687
2021-05-06,95.4471,114.4,109.8,95.4471,1832912
2021-05-07,95.4471,113.2,110.4,95.4471,2364316
2021-05-10,95.8733,113.8,109.7,95.8733,1227777
2021-05-11,93.061,110,107,93.061,1942377
2021-05-12,87.5216,109,101.7,87.5216,5795934
2021-05-13,86.7829,101.9,98,86.7829,2770512
2021-05-14,87.3478,101.7,96.35,87.3478,2842299
2021-05-17,87.174,102,99.3,87.174,2489900
2021-05-18,88.9122,102.7,98.9,88.9122,2098725
2021-05-20,88.3038,103.4,100.6,88.3038,2768056
2021-05-21,87.3478,103.6,99.7,87.3478,4052311
2021-05-24,86.6959,101.1,98.75,86.6959,2792206
2021-05-25,86.4352,101.5,99.05,86.4352,2879264
2021-05-26,86.1745,100.3,98.65,86.1745,3789392
2021-05-27,89.6944,104.7,98.8,89.6944,23272766
2021-05-28,88.9992,105.3,101.6,88.9992,11138172
2021-05-31,89.2599,103.2,100.2,89.2599,1274126
2021-06-01,90.5636,106,101.8,90.5636,2113046
2021-06-02,89.4337,105,102.3,89.4337,1524253
2021-06-03,86.609,104,99.4,86.609,2882707
2021-06-04,86.5221,101.6,98.3,86.5221,2121114
2021-06-07,89.5206,104.2,101,89.5206,2418616
2021-06-08,89.6075,106.6,102.9,89.6075,1794948
2021-06-09,88.6515,104.2,101.6,88.6515,1266733
2021-06-10,87.9562,103.8,100.5,87.9562,2156600
2021-06-11,88.2169,104.2,101.1,88.2169,1810338
2021-06-15,86.5656,102.4,99,86.5656,2347529
2021-06-16,85.175,100.2,97.5,85.175,3166936
2021-06-17,86.1745,100,97.7,86.1745,2322525
2021-06-18,86.4787,102,98.9,86.4787,2460926
2021-06-21,85.7834,99.25,96.85,85.7834,1889530
2021-06-22,87.2609,102,98.5,87.2609,1501421
2021-06-23,88.3038,102.2,99.05,88.3038,2620019
2021-06-24,88.4777,103.8,101.4,88.4777,1238280
2021-06-25,91.2589,105.8,101.1,91.2589,2460490
2021-06-28,90.2159,106.4,98,90.2159,2933403
2021-06-29,91.6065,107,103.2,91.6065,2004491
2021-06-30,91.4327,107.6,104.3,91.4327,1913807
2021-07-02,93.6925,110.8,104.7,93.6925,4367002
2021-07-05,95.2569,110.4,107,95.2569,3456742
2021-07-06,93.9532,110,105.4,93.9532,2744700
2021-07-07,94.9962,109.6,105.2,94.9962,2182179
2021-07-08,92.8233,109.4,106.4,92.8233,2029465
2021-07-09,94.3878,109.2,106,94.3878,2351244
2021-07-12,97.3428,112.4,109.1,97.3428,1633309
2021-07-13,95.3438,113,109.1,95.3438,1955744
2021-07-14,93.7794,109.9,106.7,93.7794,1385700
2021-07-15,94.9962,110.4,107.5,94.9962,1803200
2021-07-16,93.6055,109.8,107.2,93.6055,1286588
2021-07-19,88.6515,107.2,101.6,88.6515,1915423
2021-07-20,87.2609,101.3,99,87.2609,1509843
2021-07-21,87.6955,101.6,98.5,87.6955,1401069
2021-07-22,91.2589,105.2,101.7,91.2589,1076194
2021-07-23,89.0861,107.2,102.1,89.0861,2015662
2021-07-26,88.5646,103.5,99.85,88.5646,1402982
2021-07-27,87.0001,107.6,99.35,87.0001,3781300
2021-07-28,87.0001,107.9,98.85,87.0001,6231701
2021-07-29,88.3908,104,100.1,88.3908,4827427
2021-07-30,86.9132,100.8,98.1,86.9132,3992120
2021-08-02,88.0431,102.5,99.8,88.0431,3035025
2021-08-03,86.0441,101.1,98.35,86.0441,2948419
2021-08-04,87.0871,101.2,98.1,87.0871,2617516
2021-08-05,88.6515,103,100.4,88.6515,1903393
2021-08-06,88.9992,103.3,100.7,88.9992,1085726
2021-08-09,88.5646,103.7,101,88.5646,1373168
2021-08-10,88.7384,103,101.3,88.7384,1128900
2021-08-11,88.3908,102.9,101.3,88.3908,1212600
2021-08-12,87.8625,100.8,99.2,87.8625,2367892
2021-08-13,87.0262,102.5,98.85,87.0262,2342735
2021-08-16,83.6367,101.6,95,83.6367,3238347
2021-08-17,80.7314,96.35,90,80.7314,3884431
2021-08-18,80.3352,92.95,90.4,80.3352,1673701
2021-08-19,77.9582,90.5,87.3,77.9582,3331359
2021-08-20,77.8261,89.4,86.4,77.8261,1492164
2021-08-23,80.3792,92.4,89.45,80.3792,2620370
2021-08-24,81.3036,93.2,91.65,81.3036,1104440
2021-08-25,80.7754,93.2,91.35,80.7754,1441502
2021-08-26,79.807,93,89.7,79.807,1662000
2021-08-27,79.1907,91.95,89.7,79.1907,1013269
2021-08-30,80.5993,92.3,90.25,80.5993,1826605
2021-08-31,81.5238,92.85,91,81.5238,1713648
2021-09-01,81.9199,93.8,92.4,81.9199,1891400
2021-09-02,82.008,93.65,91.6,82.008,1367700
2021-09-03,84.341,96.4,92.8,84.341,2017259
2021-09-06,81.4357,95.05,92,81.4357,1075901
2021-09-07,80.5553,93.15,91.05,80.5553,1095389
2021-09-08,79.2788,91.95,89.6,79.2788,1052530
2021-09-09,80.6874,91.9,90.15,80.6874,1275200
2021-09-10,82.3601,93.6,91.5,82.3601,965800
2021-09-13,81.7438,93.55,92.4,81.7438,607100
2021-09-14,81.2156,93.3,92,81.2156,547000
2021-09-15,80.7754,93.6,91.55,80.7754,686000
2021-09-16,78.8826,91.75,88.9,78.8826,1390700
2021-09-17,81.5678,93,90,81.5678,1519969
2021-09-20,78.7945,93,88.3,78.7945,2246772
2021-09-21,80.7314,92.9,89.4,80.7314,1251516
2021-09-23,81.3036,92.9,90.75,81.3036,2722988
2021-09-24,80.9955,93.5,91.65,80.9955,1498500
2021-09-27,79.2347,93.3,89.05,79.2347,2606432
2021-09-28,80.7754,92.2,89.2,80.7754,928700
2021-09-29,77.3419,90.85,86.8,77.3419,1123520
2021-09-30,75.8453,87.95,86.1,75.8453,988512
2021-10-04,78.0902,89.2,85.45,78.0902,1419100
2021-10-05,78.5304,89.2,86.8,78.5304,1238340
2021-10-06,75.7572,88.95,85.6,75.7572,1521093
2021-10-07,75.8012,87.45,85.5,75.8012,1393628
2021-10-08,74.9649,87.8,85.1,74.9649,976062
2021-10-11,73.6443,85.95,83.1,73.6443,1073250
2021-10-12,70.607,83.25,80.1,70.607,2709128
2021-10-15,72.7639,83.1,80.55,72.7639,2949800
